Year,Approx_date,Area,City,Author,Title,Language,Ms.,Printer,External_link,Source,Location,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,0,France,Paris,"Tonstall, Cuthbert",De arte supputandi libri quattuor cutheberti tonstalli,Latin,0,Robert Estienne,,"Schärlig (2010), Smith (1908), USTC",Moreau IV 1442,"Numeration, operations, progressions, roots, fractions, operations with fractions, rule of three, companies, profit and loss, companies, misc. business problems, of exchange, proportions, false position.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,0,France,Paris,"Huswirt, Johann","Enchiridion artis numerandi nunc recognitum, ex secunda editione cum accessionibus plurimus",Latin,0,typis Jean Bignon vendunantur Regnault Chaudière,,"Schärlig (2010), Smith (1908), USTC",Moreau IV 1341,"Operations (' Tractatus Primus '), brief treatment of reckoning with tokens ('Tractatus Secundus de proiectilibus'), fractions ('Tractatus Tertius'), rule of three, partnership, and over twenty miscellaneous rules ('Tractatus quartus de regulis mercatorum'). In the algoristic treatment of integers Huswirt places duplatio (doubling) after multiplication, and mediatio (halving) after division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,0,Italy,Rome,Angelo da Modena,Ragione di Abbaco,Italian,0,Antonio Blado,,Van Egmond (1980),"Florence, Nazionale, Nencini 1. 3. 3. 19; Rome, Nazionale 71. 4. D. 9; Paris Nationale Rés p. V. 312; Rés V. 1474; London British Museum; Pavia Universitaria; Siena; Venice Marciana; Oxford; NUC; DLC; ICN. Facsimile print: Ugo da Carpi, Thesauro de Scrittori, Esther Potter (ed.) London: Nattali & Maurice, 1968","Very small abacus manual including multiplication tables, examples of calculation and mercantile problems (4cc.).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,0,Italy,Venice,"Mariani, Giovanni","Rasonato de mercantia. Scontro de tutti li marcadanti bazariotti e botegheri e de ogni altra sorte persone per comprar vender, & baratar ogni sorte mercantia, a tutti quelli precii che vorai ogni rason fatta troverai senza tuor la pena in mano viue lietoe sta sano. Con la redution de tutti li pesi de Soria e de Allesandria e de altri luoghi con rispondenti al peso sottil di Vinegia",Italian,0,Giovanni Antonio Nicolini da Sabbio,https://www.europeana.eu/portal/it/record/2048088/VEAE124891.html,"Ars Mercatoria (1991), USTC","Philadelphia, PA (USA), Pennsylvania University Library IC5 M3376 535t Venezia (It), Biblioteca d'arte e storia veneziana del civico Museo Correr Venezia (It), Biblioteca nazionale Marciana",The work is entirely dedicated to arithmetic tables dealing with exchange and interest rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,0,Italy,Venice,Girolamo Tagliente,Libro de abaco,Italian,0,Alvise Torti,Link at 1547 edition (Milan),Van Egmond (1980),"[unlocated: mentioned in Boncompagni 1862-63, 1866]","Numeration, operations (multiplication ‘per cholonella’, ‘per schachiero’; division ‘per colonna’, ‘per galia’; sum in the £/s/d system, subtraction), rule of three and business applications (equivalences, exchange, alloying, partnerships, barter, interest rates, misc problems) [each problem has a graphic illustration of the mathematical process, but it also has a step-by-step commentary], tariff, recommendations on merchandise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,0,Italy,Venice,Anonymous,Libretto de abacho,Italian,0,Giovanni Padovano e Venturino Ruffinelli,,"Van Egmond (1980), USTC",Bologna universitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0,Germany,Augsburg,"Böschenstein, Abraham / Böschenstein, Johann",Ein nützlich rechenbuechlin der zyffer darauß ein yeder durch sein aygen fleiß mit kleyner hilff lernen mag anfengklich rechenen,German,0,Heinrich von Augsburg Steiner,https://books.google.co.uk/books?id=J_vQmz18aKgC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,"Ars Mercatoria (1991), Smith (1908), USTC","New York, NY (USA), Columbia University, Butler Library PLIMPTON 511 1536 B67 Nürnberg (De), Bibliothek des Germanisches Nationalmuseums",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0,Germany,Leipzig,"Ries, Adam","Brotordnung / Ein Gerechent Buchlein, auff den Schöffel, Eimer, vnd Pfundtgewicht: zu ehren einem Erbarn, Weisen Rathe auff Sanct Annenbergk",German,0,Melchior Lotter,http://reader.digitale-sammlungen.de/de/fs1/object/display/bsb11106361_00001.html,"Gebhardt (1997), Smith (1908), Bayerische Staatsbibliothek","Berling Staatsbibliothek Rara Oc 1509, Sign 1911.2167; Dresden Sächsiche Landesbibliothek sign: Mercatur 104; Erfurt Stadtbibliothek; Halle-Wittenberg Universitäts und Landesbibliothek; Hamburg, Commerzbibliothek; Leipzig Universitätsbibliothek; London British Library; New York, Columbia University, Rare books; Prague Strahower Bibliothek; Regensburg, Staatliche bibiothek; Zwickau, Ratsschulbibliothek",Arithmetic tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0,Germany,Strasbourg,"Wa_lckl, Georg","Die Waelsch practica, gezogen ausz der kunst der proportion lernt gar grutlich unnd behend rechnen",German,0,Matthias Apiarius,,"Ars Mercatoria (1991), USTC","London (UK), British Library 8505.a.70, Strasbourg BN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0,Germany,Strasbourg,"Regius, Ulrich",Utriusque arithmetices epitome ex variis authoribus concinnata,Latin,0,Bartholomaeus Grüninger,http://reader.digitale-sammlungen.de/de/fs1/object/display/bsb10186797_00001.html,"BNF, Smith (1908), USTC","Berlin (De), Staatsbibliothek Preußischer Kulturbesitz Burgos (Es), Abadía Benedictina de Santo Domingo de Silos Tiny t QA101.H83 U8 1536 Halle (De), Universitäts- und Landesbibliothek Jena (De), Universitätsbibliothek München (De), Bayerische Staatsbibliothek Nürnberg (De), Bibliothek des Germanisches Nationalmuseums Wien (At), Österreichische Nationalbibliothek","The work deals mainly with Boethian arithmetic, but includes also small practical arithmetic parts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0,Italy,Venice,Francesco Feliciano da Lazesio veronese,"Libro di arithmetica e geometria speculativa e praticale, composto per maestro Francesco Feliciano da Lazisio veronese intitulato Scala gramaldelli",Italian,0,Francesco Bindoni e Mapheo Pasini,https://www.e-rara.ch/zut/content/titleinfo/2924506,"Van Egmond (1980), Grendler (1989), Ars Mercatoria (1991)","Rome Angelica, Venice Nazionale, Fermo, Paris Geneviève, Ferrara (It), Biblioteca comunale Ariostea, Udine (It), Biblioteca civica Vincenzo Joppi, Perugia (It), Biblioteca comunale Augusta, Piacenza (It), Biblioteca comunale Passerini-Landi, Orvieto (It), Nuova Biblioteca pubblica Luigi Fumi, Napoli (It), Biblioteca Nazionale Vittorio Emanuele III, Gorizia (It), Biblioteca pubblica del Seminario teologico centrale, Arezzo (It), Biblioteca città di Arezzo, Cambridge (UK), St John's College Library Upper Library Aa.2.7, NUC, NNC, IU,  New York, NY (USA), Columbia University, Butler Library B510 F331 New York, NY (USA), Columbia University, Butler Library PLIMPTON 511 1536 F33","(From the 1536 edition): Book I: numeration, operations (with detailed different methods), fractions, operations wirh fractions, rule of three, companies, barter, companies in livestock ('soci del bestiame'). Book II: roots, operations with roots, binomials, operations with binomials, proportions, operations with proportions, algebra. Book III: practical geometry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0,Germany,Wittenberg,"Ellenbogen, Erhard von",Rechenbuch auff Preussische müntze mas und gewichte auff der linien und federn seer bequem mit wenig worten viel begriffen zu dem gmeinen handel und scharffer rechnung verfertiget. Welscher practica inhalt mit den dreien gesanten exempeln vleissiglich beschlossen,German,0,Josef Klug,http://daten.digitale-sammlungen.de/~db/0002/bsb00028787/images/,"Ars Mercatoria (1991),USTC, Bayerische Staatsbibliothek digitale","München (De), Bayerische Staatsbibliothek","Numeration, operations, progressions, roots, rule of three, companies, alloying, barter, Welsche practica, weights.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0,Germany,Wittenberg,"Peuerbach, Georg von","Elementa arithmetices. Algorithmus de numeris integru, fractis, regulis communibus, & de proportionibus. Cum praefatione Philip. Melanth",Latin,0,J. Klug,http://catalogue.bnf.fr/ark:/12148/cb31096116g,BNF,"France, Bibliothèque nationale de France","This is a very succint manual (8 folios) with: numeration, operation, progression, roots, rule of three, partnerships (companies), a few problems ('enigma'). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0,Germany,Wittenberg,"Ries, Adam",Rechnung auff der linien und federn auff allerley handthirung. Zum andern mal ubersehen und gemehret,German,0,Peter I Seitz,,"Gebhardt (2017), Schärlig (2010), Ars Mercatoria (1991), USTC","Nürnberg (De), Bibliothek des Germanisches Nationalmuseums, 8o H. 2656 Post.Inc","Numeration, operations (both with tokens and with feathers), rule of three, fractions ('gebrochenen Zahlen'), operations with fractions, exchange, misc. mercantile problems (silver and gold, saffron, shipping, companies), false position.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,0,Italy,Venice,Niccolò Tartaglia,Nova scienza,Italian,0,Stephano da Sabio,,"Nenci (2019) ‘Tartaglia, Niccolò’, in Dizionario Biografico Degli Italiani",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,0,Netherlands,Antwerp,"Hoecke, Giel vander / Hoecke, Gielis Vanden","Een sonderlinghe boeck in dye edel conste arithmetica, met veel schoone perfecte regulen",Dutch,0,Symon Cock,,"Schärlig (2010), Ars Mercatoria (1991), Gebhardt, R. (ed.) (1999), Smith (1908), USTC","Den Haag (Nl), Koninklijke Bibliotheek New York, NY (USA), Columbia University, Butler Library","Numeration, operations (both with Arabic numbers, and with tokens). Denominate numbers, fractions, rule of three, roots, proportion, algebra, misc. business applications, mensuration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,0,Germany,Erfurt,"Ries, Adam",Rechnung auff der linien und federn auff allerley handthirung. Zum andern mal ubersehen und gemehret,German,0,Melchior I Sachse,,"Gebhardt (2017), Schärlig (2010), Ars Mercatoria (1991), USTC","Erfurt (De), Stadt- und Regionalbibliothek Rostock (De), Universitätsbibliothek Fb. 3121 4","Numeration, operations (both with tokens and with feathers), rule of three, fractions ('gebrochenen Zahlen'), operations with fractions, exchange, misc. mercantile problems (silver and gold, saffron, shipping, companies), false position.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,0,Germany,Frankfurt am Main,"Jacob Köbler / Koebler / Köbel, Jakob",Zwey rechenbuechlin: vff der Linien vnd Zipher,German,0,,,Ars Mercatoria (1991),"Wien (At), Österreichische Nationalbibliothek 72 M 34","[1514 edition] Operations, operations with tokens, progressions, rule of three, fractions (using Roman numerals to represent them), exchange. Revised edition also reporting calculation with Hindu-Arabic numerals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,0,Germany,Frankfurt am Main,"Apian, Peter ","Eyn Newe Unnd wolgegründte underweysung aller Kauffmanss Rechnung in dreyen Büchern, mit schönen Regeln vnd fragstucken begriffen",German,0,Christian I Egenolff,,"Ars Mercatoria (1991), Schärlig (2010), Smith (1908), USTC, Buskirk, J. (2013) Portraiture and Arithmetic in Sixteenth-Century Bavaria: Deciphering Barthel Beham’s Calculator","London (UK), British Library 8533.aa.22","Book I: numeration (with Arabic numerals, with tokens and with fingers), rule of three, fractions ('algorithmus'), operations with fractions. Book II: roots, companies, exchange, alloying, money. Book III: 'Kaufmanns rechnung … nach Welscher / Florentiner und Teutscher', proportions, operations (sic), practica, alloying",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,0,Germany,Nuremberg,"Rudolff, Christoff",Künstliche rechnung mit der ziffer und mit den zal pfennigen sampt der wellischen practica und allerley vorteil auff die regel de Tri,German,0,Johann Petreius,,Ars Mercatoria (1991),"London (UK), British Library 8529.a.48","Divided into three parts : (i) Grundbuchlein: numeration, operations, fractions, with and without Arabic numerals. (2) Regelbuchlein: rule of three (3) Practica oder Wellische Rechnung (where welsch means 'from Latin people'). (4) Exempelbuchlein: misc. problems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,0,Spain,Seville,Juan de Ortega,Tratado subtilissimo de Arismetica y de Geometria compuesto y ordenado por el reuerendo padre fray Juan de Ortega (new and expanded edition of Composición de la arte de la aritmética y juntamente de geometria),Spanish,0,en casa de Juan Cromberger,http://bdh-rd.bne.es/viewer.vm?id=0000115463&page=1,"Benito (2012), Ars Mercatoria (1991), Smith (1908), Maria Martín (2016), USTC, BDH","León (Es), Real Colegiata de San Isidoro, Archivo-Biblioteca LARC.464(1) Madrid (Es), Biblioteca Nacional de España R-39471 Madrid (Es), Biblioteca Nacional de España R-1327 Madrid (Es), Real Academia Española de la Lengua S. Coms. 12-E-18 Santander (Es), Biblioteca de Menéndez y Pelayo 30.018 Yale University, Beinecke Library, New Haven, CT (USA) QA33 O78","Purely commercial book: numeration, operations with integers, progressions, roots, checks on operations, operations in the same order with fractions, business rules. These include exchange, rule of three, profit and loss, partnership, testament problems, barter, alloys, false position, and a little mensuration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,1,England,St. Albans,Anonymous ,"An introduccion for to lerne to rekyn with the pen, with the co_ters after the true ca_t of Ari_metyke or Awgrym in hole n_bers a{n}d al_o in broken",English,0,John Herford for Richard Stevenage,,"Schärlig (2010), Travis D. Williams, The Earliest English Printed Arithmetic Books, Library (Lond) (2012) 13 (2): 164-184; Ars Mercatoria (1991); Bockstaele, P. (1960), Notes on the First Arithmetics Printed in Dutch and English; A. W. Richeson (1947), The First Arithmetic Printed in English, Isis Vol. 37, No. 1/2, Denniss, J. (2009), Learning Arithmetic: Textbooks and Their Users in England 1500-1900",British Library,"From the 1539 edition (only fragments of the first edition were preserved): The first section is dedicated to Arabic numerals ('awgrym for the pen'). Numeration, operations, progressions, fractions, operations with fractions, multiplication tables, rule of three, measures, money/currencies, companies, profit and losses, exchange, 'shepherde and pastour'. The second section is dedicated to the counter abacus. Companies again, interest, barter, misc. problems, false position.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,0,Germany,Augsburg,"Eisenhut, Johannes","Ein künstlich rechenbuch auff zyffern, linien und waelschen practica, sampt ire flores dergleichen noch nit an tag kommen",German,0,"Heinrich Steiner von Augsburg, in v. Johannes Eisenhut",,"Ars Mercatoria (1991), USTC","Leipzig (De), Universitätsbibliothek London (UK), British Library 1606/90. Wien (At), Österreichische Nationalbibliothek Wolfenbüttel (De), Herzog August Bibliothek","Tokens and feathers. (From the 1573 edition): numeration, operations, progressions, rule of three, business problems applied to different commodities, fractions, operations with fractions, profits and losses, inverse rule of three, exchange, alloying, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,0,Poland,Gdansk,"Ellenbogen, Erhard von",Rechenbuch auff Preussische müntze mas und gewichte auff der linien und federn seer bequem mit wenig worten viel begriffen zu dem gmeinen handel und scharffer rechnung verfertiget. Welscher practica inhalt mit den dreien gesanten exempeln vleissiglich beschlossen,German,0,Franciszek Rhode,,"Ars Mercatoria (1991),USTC, Bayerische Staatsbibliothek digitale","Wroclaw BU, 314409","Numeration, operations, progressions, roots, rule of three, companies, alloying, barter, Welsche practica, weights.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,0,Poland,Krakow,"K_os, Tomasz","Algoritmus: To jesth nauka Liczby: Polsk_ rzec__ wydana Na trzy sie cz_sci dzieli, Pierwsza b_dzie o osobach Liczby, wtora o Regule detri, Trzecia o rozmaitych rachunkoch y o spo_kach Kupieczkich [Algorithmus: this is the science of numbers]",Polish,0,Helena Unglerowa: in officina Ungleriana,,"Ars Mercatoria (1991), USTC, Biniewicz, The Beginnings of Scientific Terminology in Polish, in MacLeod, Sumillera, Surman, Smirnova (2016) Language as a Scientific Tool: Shaping Scientific Language Across Time and National Traditions","Göttingen SUB, SVA 1 9213 Bd.6","Numeration, operations, fractions, operations with fractions, rule of three, currency exchange, and weights and measures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,0,Germany,Leipzig,"Ries, Adam",Rechnung auff der linien und federn auff allerley handtirung. Item auffs new ubersehen und an viel oerten gebessert,German,0,Valentin Schumann,,"Gebhardt (2017), Schärlig (2010), Ars Mercatoria (1991), USTC","Leipzig (De), DNB, Deutsches Schrift- und Buchmuseum New York, NY (USA), Columbia University, Butler Library PLIMPTON 511 1538 R446 Nürnberg (De), Stadtbibliothek 8o H. 2657","Numeration, operations (both with tokens and with feathers), rule of three, fractions ('gebrochenen Zahlen'), operations with fractions, exchange, misc. mercantile problems (silver and gold, saffron, shipping, companies), false position.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,0,France,Lyon,"Huguetan, Gilles","Les tables de divers comptes, avec leurs canons",French,0,Gilles Huguetan et Jacques Huguetan,http://reader.digitale-sammlungen.de/de/fs1/object/display/bsb10147865_00001.html,"Schärlig (2010), Smith (1908), Ars Mercatoria (1991), USTC, Bayerische Staatsbibliothek","Berlin (De), Staatsbibliothek Preußischer Kulturbesitz 4o Ob 1861 (2) Harvard Business School, Baker Library (Kress Collection), Cambridge, MA (USA) Kress 1538 Huguetan München (De), Bayerische Staatsbibliothek 2o Math p 25 h","The work contains mainly multiplication and division tables, to use as a working tool. The first 11 folios introduce the explanation of the fundamental operations both with Arabic numerals and with counters (tokens and feathers).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,0,France,Lyon,"Roche, Estienne de la","Larismetique & Geometrie de maistre Estienne de la Roche dict Ville Franche, Nouuellement Imprimee & des faultes corrigee",French,0,Jacques Myt et Jacques Huguetan et Gilles Huguetan,http://reader.digitale-sammlungen.de/resolve/display/bsb10147873.html,"Davis (1960), Schärlig (2010), Smith (1908), Ars Mercatoria (1991)","Angers (Fr), Bibliothèque municipale SA 1068 Avignon (Fr), Bibliothèque municipale Livrée Ceccano Fol 1601 Berlin (De), Staatsbibliothek Preußischer Kulturbesitz 4o Ob 1861 (2) Clermont-Ferrand (Fr), Bibliothèque communautaire et interuniversitaire Fonds AN 14221 Edinburgh (UK), National Library of Scotland Newb 4139 Houghton Library, Harvard University, Cambridge, MA (USA) Math 495 38 London (UK), British Library 1605/26 München (De), Bayerische Staatsbibliothek 2o Math p 28 Narbonne (Fr), Médiathèque de la communauté d'agglomération Narbonnaise R71 New York, NY (USA), Columbia University, Butler Library PLIMP 511 1538 L32 Oxford (UK), Magdalen College Library Q 12 14 Paris (Fr), Bibliothèque de l'Ecole Nationale Supérieur des Beaux Arts Masson 836 Paris (Fr), Bibliothèque de l'Ecole Nationale Supérieur des Beaux Arts Masson 336 Paris (Fr), Bibliothèque Sainte Geneviève Fol. V 21 inv. 28 (1) Rés. Roma (It), Biblioteca nazionale centrale Vittorio Emanuele II St Petersburg (Ru), National Library of Russia (Saltykov-Shchedrin State Public Library) 5 12 2 47 Torino (It), Biblioteca nazionale universitaria Valenciennes (Fr), Bibliothèque municipale H 7-29","[from 1538 edition] First part: properties of numbers (perfect numbers, multiples, proportions), numeration, operations, fractions, operations with fractions, rule of three, rule of false position, roots, operations with roots, algebra ('regle de la chose'), operations in algebra, misc problems. Second part: practical applications (with biblical quotation: all in nature is measurable by number). Operations with moneys, currencies and weights, equivalences ('raisons' de monnays), applications of rule of three, tariffs ('gabelles'), measures (also reporting those of different countries), profits and losses, companies, contracts, barter and exchange, interests ('merit', simple and 'a chief de terme'), alloying, recreational problems, geometry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,0,France,Paris,"Tonstall, Cuthbert",De arte supputandi libri quattuor cutheberti tonstalli,Latin,0,Robert Estienne,Two links: 'http://reader.digitale-sammlungen.de/resolve/display/bsb10164593.html   https://books.google.co.uk/books?id=Oxk8AAAAcAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,"Schärlig (2010), Smith (1908), USTC","Antwerpen (Be), Stadsbibliotheek Dublin (Ie), The Edward Worth Library Dublin (Ie), Trinity College Kraków (Pl), Biblioteka Jagiellonska København (Dk), Det Kongelige Bibliotek London (UK), British Library Milano (It), Biblioteca nazionale Braidense Oxford (UK), Bodleian Library Oxford (UK), Christ Church Library Oxford (UK), Exeter College Library Oxford (UK), Merton College Library Oxford (UK), University College Library Oxford (UK), Worcester College Library Paris (Fr), Bibliothèque nationale de France Peterborough (UK), Cathedral Library (on deposit in Cambridge University Library) Ripon (UK), Cathedral Library Roma (It), Biblioteca Casanatense Roma (It), Biblioteca nazionale centrale Vittorio Emanuele II Wien (At), Österreichische Nationalbibliothek","Numeration, operations, progressions, roots, fractions, operations with fractions, rule of three, companies, profit and loss, companies, misc. business problems, of exchange, proportions, false position.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,0,Italy,Venice,"Peuerbach, Georg von","Elementa arithmetices. Algorithmus de numeris integru, fractis, regulis communibus, & de proportionibus. Cum praefatione Philip. Melanth",Latin,0,Giovanni Antonio Nicolini da Sabbio sumptu Melchiorre I Sessa,,USTC,"Padova (It), Biblioteca universitaria. Is this the same as the BNF copy?","This is a very succint manual (8 folios) with: numeration, operation, progression, roots, rule of three, partnerships (companies), a few problems ('enigma'). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,0,Germany,Cologne,"Wreedt, Balthasar",Ein kurtz und behend rechenbuechlin uff linien und ziffern mit viel schonen exempeln unnd regeln zusamen bracht,German,0,Eucharius Cervicornus,,"Smith (1939), Ars Mercatoria (1991), USTC","Münster (De) UB, M2 194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
