Year,Approx_date,Area,City,Author,Title,Language,Ms.,Printer,External_link,Source,Location,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,0,France,Montpellier,Paolo Gherardi,Libro di ragioni,Italian (Florentin),1,,,"Franci (2003), Franci-Toti Rigatelli (1988) in Mathematics from manuscript to print 1300-1600, Van Egmond (1980), see 'Opera matematica', Collana di Storia della Scienza e della Tecnica, a cura di G. Arrighi, 1987. Published by Van Egmond in The earliest vernacular treatment of algebra: the Libro di ragioni of Paolo Gerardi, Physis, 20 (1978), 155-189","Florence, Biblioteca Nazionale Centrale, Magl. CI. XI. 87","Misc. Business problems, algebra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,1,Italy,Florence,"Paolo dell'Abbaco, Arnaldo da Villanova",Trattato di tutta l'arte dell'abacho,Italian (Florentin),1,,,"Van Egmond (1980). Only sections of the treatise have been published: the Regoluzze according to the ms. Ricc. 2511 have been published by G. Arrighi, 1966; the so-called Trattato d'aritmetica according to the ms. BNF, Magl. Cl. XI.86 (c.1440) has been published by G. Arrighi, 1964","Florence, Biblioteca Nazionale Centrale, Fond. Naz. II. IX. 57. Copies: Florence, Biblioteca Riccardiana, Ricc 2511; Rome, Biblioteca dell'Accademia Nazionale dei Lincei, ms. Cors. 1875; Florence, Biblioteca Mediceo-Laurenziana. Ash 1662 (1586); Florence, Biblioteca Nazionale Centrale, ms. Targioni 9; New York, Columbia University Library, Plimpton 167; Paris, Bibliothèque Nationale, Italien 946; Florence, Biblioteca Riccardiana, Ricc. 1169 (fragment); Florence, Biblioteca Mediceo-Laurenziana. Ash 1163 (1092); Bologna, Biblioteca Universitaria, Ms. 2433.","List of contents, multiplication tables, operations, fractions, business problems, perfect numbers, easter tables (1310-1399), recreational problems, geometry. The ms. includes L'arte maggiore di Rinaldo da Villanova (medicine): fols 13r-16v; Medichamento gienerale: fols 142r-148r; Miscellany of problems in several hands: fols 157-181; Astrology and calendar: 149r-156v; Judicial astrology: 182r-188v.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,1,Italy,Lucca?,Anonymous,Libro di molte ragioni d'abaco,Italian,1,,,"Van Egmond (1980), Franci-Toti Rigatelli (1988) in Mathematics from manuscript to print 1300-1600, Published in Libro d'abaco, dal Codice 1754 (sec. xiv) della Biblioteca Statale di Lucca (edited by Gino Arrighi), Lucca: Cassa di risparmio di Lucca, 1973","Lucca, Biblioteca Statale, ms. 1754. Published in Libro d'abaco, dal Codice 1754 (sec. xiv) della Biblioteca Statale di Lucca (edited by Gino Arrighi), Lucca: Cassa di risparmio di Lucca, 1973","Rule of three, fractions, business problems, algebra, geometry, calendar, tariff, misc problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,1,Italy,,Alfraganus,Tractato della spera,Italian,1,,,"Van Egmond (1980), Bacchelli (2012)","Florence, Biblioteca Riccardiana, Ricc. 2263, fols. 1-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,1,Italy,,Anonymous,[Quesiti aritmetici],Italian,1,,,Van Egmond (1980),"Città del Vaticano, Biblioteca Apostolica Vaticana, Vat. Lat. 10489",25 numbered business problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,1,Italy,Florence,Paolo dell'Abbaco,Trattato di tutta l'arte dell'abacho,Italian (Florentin),1,,,Van Egmond (1980),"Rome, Biblioteca dell'Accademia Nazionale dei Lincei, Cors. 1875","List of contents, multiplication tables, operations, fractions, business problems, perfect numbers, easter tables (1405-1499), recreational problems, geometry, alloying, astronomy and astrology, misc problems, regoluzze. The ms. includes a 'medicamento gienerale'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,1,Italy,Florence,Paolo dell'Abbaco,Trattato di tutta l'arte dell'abacho,Italian (Florentin),1,,,Van Egmond (1980),"Florence, Biblioteca Riccardiana, Ricc 2511","List of contents, multiplication tables and calcuations, fractions, business problems, perfect numbers, ragoluzze, geometry, astronomy and astrology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,1,Italy,,Anonymous,"Libro d'arismetricha e geometria, Ragioni dela geometria, Calendario",Italian,1,,,Van Egmond (1980),"Dresden, Sächsiche Landesbibliothek, Ms. Ob. 11. ","Numeration, multiplication tables, operations, business problems, recreational problems, geometry, calendar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1,Italy,Cortona,Anonymous,Rascioni di algorismo,Italian,1,,,"Van Egmond (1980), Published in Kurt Vogel, Ein Italienisches Rechenbuch aus dem 14. Jahrhundert, München: 1977. Travaini (2003) Monete, mercanti e matematica","New York, Columbia University Library, X 511 A 13. Published in Kurt Vogel, Ein Italienisches Rechenbuch aus dem 14. Jahrhundert, München: 1977","Rule of three, misc business and geometrical problems, exchange, alloying, interest rates, companies. Travaini (2003) argues that the list of coins date to '“later than 1278 and before 1284”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1,Italy,,Anonymous,Isperimenti di geometria,Italian,1,,,Van Egmond (1980),"Florence, Biblioteca Nazionale Centrale, Fond. Naz. II. III. 198, fols. 124-146",Geometry and calendar. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
